jaar;gebiedcode15;gebiedcodetype;gebiednaam;variabele;waarde
2018;DX01;22GEBIEDEN;Centrum-West;BEVDICHT;15927
2018;DX01;22GEBIEDEN;Centrum-West;BEVSUR;1049
2018;DX01;22GEBIEDEN;Centrum-West;BEVANTIL;376
2018;DX01;22GEBIEDEN;Centrum-West;BEVTURK;403
2018;DX01;22GEBIEDEN;Centrum-West;BEVMAROK;599
2018;DX01;22GEBIEDEN;Centrum-West;BEVOVNW;3885
2018;DX01;22GEBIEDEN;Centrum-West;BEVWEST;11883
2018;DX01;22GEBIEDEN;Centrum-West;BEVAUTOCH;25191
2018;DX01;22GEBIEDEN;Centrum-West;BEVSUR_P;2.4
2018;DX01;22GEBIEDEN;Centrum-West;BEVANTIL_P;0.9
2018;DX01;22GEBIEDEN;Centrum-West;BEVTURK_P;0.9
2018;DX01;22GEBIEDEN;Centrum-West;BEVMAROK_P;1.4
2018;DX01;22GEBIEDEN;Centrum-West;BEVOVNW_P;9.0
2018;DX01;22GEBIEDEN;Centrum-West;BEVWEST_P;27.4
2018;DX01;22GEBIEDEN;Centrum-West;BEVAUTOCH_P;58.1
2018;DX01;22GEBIEDEN;Centrum-West;BEVNW;6312
2018;DX01;22GEBIEDEN;Centrum-West;BEVNW_P;14.5
2018;DX01;22GEBIEDEN;Centrum-West;BEVEGNW;4084
2018;DX01;22GEBIEDEN;Centrum-West;BEVEGWEST;8057
2018;DX01;22GEBIEDEN;Centrum-West;BEVNSTEDELING;18335
2018;DX01;22GEBIEDEN;Centrum-West;BEVNSTEDELING_P;42.3
2018;DX01;22GEBIEDEN;Centrum-West;BEVOPLLAAG_P;13
2018;DX01;22GEBIEDEN;Centrum-West;BEVOPLMID_P;25
2018;DX01;22GEBIEDEN;Centrum-West;BEVOPLHOOG_P;62
2018;DX01;22GEBIEDEN;Centrum-West;BEVHHMKIND;3742
2018;DX01;22GEBIEDEN;Centrum-West;BEVHHMKIND_P;13.4
2018;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUS;550
2018;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUS_P;1.3
2018;DX01;22GEBIEDEN;Centrum-West;BEV1P65_79V;1582
2018;DX01;22GEBIEDEN;Centrum-West;BEV1P65_79M;1342
2018;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUSV;371
2018;DX01;22GEBIEDEN;Centrum-West;BEV1P80PLUSM;179
2018;DX01;22GEBIEDEN;Centrum-West;BEV0_4;1494
2018;DX01;22GEBIEDEN;Centrum-West;BEV5_9;1182
2018;DX01;22GEBIEDEN;Centrum-West;BEV10_14;1024
2018;DX01;22GEBIEDEN;Centrum-West;BEV15_19;1231
2018;DX01;22GEBIEDEN;Centrum-West;BEV20_24;3432
2018;DX01;22GEBIEDEN;Centrum-West;BEV25_29;5783
2018;DX01;22GEBIEDEN;Centrum-West;BEV30_34;4699
2018;DX01;22GEBIEDEN;Centrum-West;BEV35_39;3368
2018;DX01;22GEBIEDEN;Centrum-West;BEV40_44;2935
2018;DX01;22GEBIEDEN;Centrum-West;BEV45_49;3165
2018;DX01;22GEBIEDEN;Centrum-West;BEV50_54;3234
2018;DX01;22GEBIEDEN;Centrum-West;BEV55_59;2898
2018;DX01;22GEBIEDEN;Centrum-West;BEV60_64;2571
2017;DX01;22GEBIEDEN;Centrum-West;BEVTURK;376
2016;DX01;22GEBIEDEN;Centrum-West;BEVTURK;366
2015;DX01;22GEBIEDEN;Centrum-West;BEVTURK;373
2020;DX01;22GEBIEDEN;Centrum-West;BEVMAROK;628
2019;DX01;22GEBIEDEN;Centrum-West;BEVMAROK;618
2017;DX01;22GEBIEDEN;Centrum-West;BEVMAROK;550
2016;DX01;22GEBIEDEN;Centrum-West;BEVMAROK;551
2015;DX01;22GEBIEDEN;Centrum-West;BEVMAROK;583
